round,win
0,2
1,2
2,1
3,2
4,0
5,0
6,2
7,2
8,2
9,2
10,2
11,0
12,2
13,2
14,2
15,2
16,1
17,0
18,0
19,2
20,2
21,2
22,0
23,2
24,2
25,2
26,2
27,0
28,1
29,2
30,2
31,2
32,0
33,1
34,1
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,1
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,1
57,2
58,1
59,2
60,2
61,0
62,2
63,0
64,1
65,2
66,2
67,1
68,2
69,2
70,2
71,2
72,2
73,2
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,0
83,2
84,1
85,2
86,2
87,1
88,1
89,2
90,1
91,2
92,2
93,0
94,2
95,2
96,2
97,2
98,1
99,2
