round,win
0,1
1,2
2,1
3,1
4,2
5,1
6,2
7,2
8,2
9,2
10,2
11,1
12,2
13,2
14,2
15,2
16,1
17,1
18,2
19,1
20,2
21,2
22,1
23,2
24,2
25,2
26,2
27,1
28,2
29,1
30,1
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,1
42,2
43,2
44,1
45,2
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,1
65,2
66,1
67,2
68,2
69,2
70,1
71,1
72,2
73,1
74,1
75,2
76,2
77,2
78,1
79,2
80,2
81,1
82,1
83,2
84,2
85,2
86,2
87,2
88,2
89,1
90,2
91,2
92,2
93,1
94,2
95,2
96,2
97,2
98,2
99,2
